dtime,time,open,high,low,close,vwap,volume,count
2023-04-03 12:01:00,1680523260,0.8081,0.8081,0.8081,0.8081,0.8081,41855.10353265,9
2023-04-03 12:02:00,1680523320,0.8082,0.8082,0.8081,0.8081,0.8081,20870.44519056,6
2023-04-03 12:03:00,1680523380,0.8081,0.8081,0.8079,0.808,0.8079,1062.1427177,5
2023-04-03 12:04:00,1680523440,0.808,0.808,0.808,0.808,0.808,3737.62376237,1
2023-04-03 12:05:00,1680523500,0.808,0.808,0.808,0.808,0.808,975.467,1
2023-04-03 12:06:00,1680523560,0.8079,0.8079,0.8079,0.8079,0.8079,10.864251,1
2023-04-03 12:07:00,1680523620,0.8079,0.8079,0.8079,0.8079,0.8079,1213.865431,3
2023-04-03 12:08:00,1680523680,0.808,0.8081,0.8078,0.8079,0.808,1279.89643803,10
2023-04-03 12:09:00,1680523740,0.8078,0.808,0.8078,0.8079,0.8079,391.365212,3
2023-04-03 12:10:00,1680523800,0.8079,0.8079,0.8079,0.8079,0.0,0.0,0
2023-04-03 12:11:00,1680523860,0.8079,0.808,0.8079,0.808,0.8079,263.94695131,3
2023-04-03 12:12:00,1680523920,0.8081,0.8081,0.8079,0.808,0.808,2847.71674151,9
2023-04-03 12:13:00,1680523980,0.808,0.808,0.808,0.808,0.808,458.83,1
2023-04-03 12:14:00,1680524040,0.808,0.808,0.808,0.808,0.0,0.0,0
2023-04-03 12:15:00,1680524100,0.8082,0.8082,0.808,0.8081,0.8081,501.6894299,3
2023-04-03 12:16:00,1680524160,0.8081,0.8081,0.8081,0.8081,0.8081,853.428,1
2023-04-03 12:17:00,1680524220,0.808,0.808,0.8077,0.8077,0.8077,1392.68132825,6
2023-04-03 12:18:00,1680524280,0.8078,0.8078,0.8078,0.8078,0.8078,10862.713737,9
2023-04-03 12:19:00,1680524340,0.8078,0.8078,0.8078,0.8078,0.8078,873.70804407,4
2023-04-03 12:20:00,1680524400,0.8078,0.8078,0.8078,0.8078,0.0,0.0,0
2023-04-03 12:21:00,1680524460,0.8076,0.8077,0.8074,0.8075,0.8075,11978.24949909,13
2023-04-03 12:22:00,1680524520,0.8075,0.8075,0.8075,0.8075,0.0,0.0,0
2023-04-03 12:23:00,1680524580,0.8075,0.8075,0.8075,0.8075,0.0,0.0,0
2023-04-03 12:24:00,1680524640,0.8075,0.8075,0.8075,0.8075,0.8075,721.72390339,2
2023-04-03 12:25:00,1680524700,0.8075,0.8075,0.8074,0.8074,0.8074,517.03865342,3
2023-04-03 12:26:00,1680524760,0.8074,0.8075,0.8074,0.8075,0.8074,19958.48779427,12
2023-04-03 12:27:00,1680524820,0.8075,0.8076,0.8075,0.8076,0.8075,266.66219193,2
2023-04-03 12:28:00,1680524880,0.8075,0.8077,0.8074,0.8077,0.8074,13240.8109,8
2023-04-03 12:29:00,1680524940,0.8077,0.8077,0.8077,0.8077,0.0,0.0,0
2023-04-03 12:30:00,1680525000,0.8077,0.8077,0.8077,0.8077,0.0,0.0,0
2023-04-03 12:31:00,1680525060,0.8076,0.8076,0.8075,0.8075,0.8075,60.71508229,2
2023-04-03 12:32:00,1680525120,0.8076,0.8076,0.8076,0.8076,0.8076,5.0,1
2023-04-03 12:33:00,1680525180,0.8076,0.8077,0.8076,0.8077,0.8076,97.38708185,2
2023-04-03 12:34:00,1680525240,0.8078,0.8078,0.8078,0.8078,0.8078,675.34195649,4
2023-04-03 12:35:00,1680525300,0.8077,0.8077,0.8077,0.8077,0.8077,1030.4569,2
2023-04-03 12:36:00,1680525360,0.8077,0.8077,0.8077,0.8077,0.0,0.0,0
2023-04-03 12:37:00,1680525420,0.8077,0.8077,0.8077,0.8077,0.0,0.0,0
2023-04-03 12:38:00,1680525480,0.8077,0.8077,0.8077,0.8077,0.8077,49.97760717,1
2023-04-03 12:39:00,1680525540,0.8077,0.8077,0.8077,0.8077,0.8077,61.89798255,1
2023-04-03 12:40:00,1680525600,0.8077,0.8077,0.8077,0.8077,0.0,0.0,0
2023-04-03 12:41:00,1680525660,0.8077,0.8077,0.8077,0.8077,0.0,0.0,0
2023-04-03 12:42:00,1680525720,0.8076,0.8076,0.8076,0.8076,0.8076,295.83666622,4
2023-04-03 12:43:00,1680525780,0.8076,0.8076,0.8076,0.8076,0.8076,5.0,1
2023-04-03 12:44:00,1680525840,0.8076,0.8076,0.8076,0.8076,0.8076,5433.21450719,6
2023-04-03 12:45:00,1680525900,0.8076,0.8076,0.8076,0.8076,0.8076,6476.18185978,4
2023-04-03 12:46:00,1680525960,0.8077,0.8077,0.8077,0.8077,0.8077,5109.62206177,2
2023-04-03 12:47:00,1680526020,0.8076,0.8077,0.8076,0.8076,0.8076,41401.49224073,8
2023-04-03 12:48:00,1680526080,0.8076,0.8078,0.8076,0.8077,0.8076,39416.25842577,6
